Exposure,Outcome,warning
Diagnoses - main ICD10: I21 Acute myocardial infarction || id:UKB-a:533,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: I21 Acute myocardial infarction || id:UKB-a:533,Chang et al. 2017,snp
Diagnoses - main ICD10: I30 Acute pericarditis || id:UKB-a:535,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: I30 Acute pericarditis || id:UKB-a:535,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis || id:UKB-a:537,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis || id:UKB-a:537,Chang et al. 2017,snp
Diagnoses - main ICD10: I84 Haemorrhoids || id:UKB-a:539,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: I84 Haemorrhoids || id:UKB-a:539,Chang et al. 2017,snp
Cancer code  self-reported: lung cancer || id:UKB-a:54,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Cancer code  self-reported: lung cancer || id:UKB-a:54,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: J33 Nasal polyp || id:UKB-a:541,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: J33 Nasal polyp || id:UKB-a:541,Chang et al. 2017,snp
Diagnoses - main ICD10: J44 Other chronic obstructive pulmonary disease || id:UKB-a:543,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: J44 Other chronic obstructive pulmonary disease || id:UKB-a:543,Chang et al. 2017,snp
Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis] || id:UKB-a:552,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis] || id:UKB-a:552,Chang et al. 2017,snp
Diagnoses - main ICD10: K51 Ulcerative colitis || id:UKB-a:553,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: K51 Ulcerative colitis || id:UKB-a:553,Chang et al. 2017,snp
Diagnoses - main ICD10: K57 Diverticular disease of intestine || id:UKB-a:555,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: K57 Diverticular disease of intestine || id:UKB-a:555,Chang et al. 2017,snp
Diagnoses - main ICD10: K76 Other diseases of liver || id:UKB-a:558,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: K76 Other diseases of liver || id:UKB-a:558,Chang et al. 2017,snp
Diagnoses - main ICD10: K80 Cholelithiasis || id:UKB-a:559,Chang et al. 2017,snp
Cancer code  self-reported: small intestine/small bowel cancer || id:UKB-a:56,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: L03 Cellulitis || id:UKB-a:560,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: M10 Gout || id:UKB-a:561,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: M10 Gout || id:UKB-a:561,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] || id:UKB-a:563,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] || id:UKB-a:563,Chang et al. 2017,snp
Diagnoses - main ICD10: M20 Acquired deformities of fingers and toes || id:UKB-a:564,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: M21 Other acquired deformities of limbs || id:UKB-a:565,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: M21 Other acquired deformities of limbs || id:UKB-a:565,Chang et al. 2017,snp
Diagnoses - main ICD10: N19 Unspecified renal failure || id:UKB-a:573,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: N19 Unspecified renal failure || id:UKB-a:573,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: N20 Calculus of kidney and ureter || id:UKB-a:574,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: N40 Hyperplasia of prostate || id:UKB-a:576,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: N40 Hyperplasia of prostate || id:UKB-a:576,Chang et al. 2017,snp
Diagnoses - main ICD10: N40 Hyperplasia of prostate || id:UKB-a:576,Nalls et al. 2014,snp
Diagnoses - main ICD10: N81 Female genital prolapse || id:UKB-a:577,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: N81 Female genital prolapse || id:UKB-a:577,Chang et al. 2017,snp
Diagnoses - main ICD10: N92 Excessive  frequent and irregular menstruation || id:UKB-a:578,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: O75 Other complications of labour and delivery  not elsewhere classified || id:UKB-a:579,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: O75 Other complications of labour and delivery  not elsewhere classified || id:UKB-a:579,Chang et al. 2017,snp+lowcase
Cancer code  self-reported: malignant melanoma || id:UKB-a:58,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: R31 Unspecified haematuria || id:UKB-a:585,Nalls et al. 2019 (clinically diagnosed cases),snp
Diagnoses - main ICD10: R31 Unspecified haematuria || id:UKB-a:585,Chang et al. 2017,snp
Diagnoses - main ICD10: S76 Injury of muscle and tendon at hip and thigh level || id:UKB-a:592,Chang et al. 2017,snp+lowcase
Time spent using computer || id:UKB-a:6,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Time spent using computer || id:UKB-a:6,Chang et al. 2017,lowcase
Time spent using computer || id:UKB-a:6,Nalls et al. 2014,lowcase
Cancer code  self-reported: squamous cell carcinoma || id:UKB-a:60,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: pulmonary embolism +/- dvt || id:UKB-a:64,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: deep venous thrombosis (dvt) || id:UKB-a:65,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: deep venous thrombosis (dvt) || id:UKB-a:65,Chang et al. 2017,snp
Non-cancer illness code  self-reported: deep venous thrombosis (dvt) || id:UKB-a:65,Nalls et al. 2014,snp
Time spent driving || id:UKB-a:7,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Time spent driving || id:UKB-a:7,Chang et al. 2017,snp+lowcase
Non-cancer illness code  self-reported: kidney stone/ureter stone/bladder stone || id:UKB-a:72,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: kidney stone/ureter stone/bladder stone || id:UKB-a:72,Chang et al. 2017,snp
Non-cancer illness code  self-reported: type 2 diabetes || id:UKB-a:75,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: type 2 diabetes || id:UKB-a:75,Chang et al. 2017,snp
Non-cancer illness code  self-reported: hyperthyroidism/thyrotoxicosis || id:UKB-a:76,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: hyperthyroidism/thyrotoxicosis || id:UKB-a:76,Chang et al. 2017,snp
Non-cancer illness code  self-reported: hyperthyroidism/thyrotoxicosis || id:UKB-a:76,Nalls et al. 2014,snp
Non-cancer illness code  self-reported: glaucoma || id:UKB-a:79,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: glaucoma || id:UKB-a:79,Chang et al. 2017,snp
Non-cancer illness code  self-reported: glaucoma || id:UKB-a:79,Nalls et al. 2014,snp
Drive faster than motorway speed limit || id:UKB-a:8,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Drive faster than motorway speed limit || id:UKB-a:8,Chang et al. 2017,lowcase
Drive faster than motorway speed limit || id:UKB-a:8,Nalls et al. 2014,lowcase
Non-cancer illness code  self-reported: osteoporosis || id:UKB-a:87,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: osteoporosis || id:UKB-a:87,Chang et al. 2017,snp
Non-cancer illness code  self-reported: osteoporosis || id:UKB-a:87,Nalls et al. 2014,snp
Non-cancer illness code  self-reported: ankylosing spondylitis || id:UKB-a:88,Nalls et al. 2019 (clinically diagnosed cases),snp
Sleep duration || id:UKB-a:9,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Sleep duration || id:UKB-a:9,Chang et al. 2017,lowcase
Sleep duration || id:UKB-a:9,Nalls et al. 2014,lowcase
Non-cancer illness code  self-reported: pernicious anaemia || id:UKB-a:90,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: pernicious anaemia || id:UKB-a:90,Chang et al. 2017,snp
Non-cancer illness code  self-reported: pernicious anaemia || id:UKB-a:90,Nalls et al. 2014,snp
Non-cancer illness code  self-reported: uterine fibroids || id:UKB-a:91,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: enlarged prostate || id:UKB-a:95,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: enlarged prostate || id:UKB-a:95,Chang et al. 2017,snp
Non-cancer illness code  self-reported: enlarged prostate || id:UKB-a:95,Nalls et al. 2014,snp
Non-cancer illness code  self-reported: nasal polyps || id:UKB-a:97,Nalls et al. 2019 (clinically diagnosed cases),snp
Non-cancer illness code  self-reported: hypopituitarism || id:UKB-a:98,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Non-cancer illness code  self-reported: hypopituitarism || id:UKB-a:98,Chang et al. 2017,snp+lowcase
Non-cancer illness code  self-reported: eczema/dermatitis || id:UKB-a:99,Chang et al. 2017,snp
Non-cancer illness code  self-reported: eczema/dermatitis || id:UKB-a:99,Nalls et al. 2014,snp
"Diagnoses - main ICD10: C80.0 Malignant neoplasm,primary site unknown,so stated || id:UKB-b:1",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: C80.0 Malignant neoplasm, primary site unknown, so stated || id:UKB-b:1",Chang et al. 2017,lowcase
Treatment/medication code: vallergan 10mg tablet || id:UKB-b:10,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: vallergan 10mg tablet || id:UKB-b:10,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: S47.2 Drainage of lesion of skin NEC || id:UKB-b:100,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - secondary OPCS: S47.2 Drainage of lesion of skin NEC || id:UKB-b:100,Chang et al. 2017,snp
Diagnoses - main ICD10: S02.2 Fracture of nasal bones || id:UKB-b:1000,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: S02.2 Fracture of nasal bones || id:UKB-b:1000,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: J24.1 Percutaneous drainage of gall bladder || id:UKB-b:1001,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: J24.1 Percutaneous drainage of gall bladder || id:UKB-b:1001,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Z94.4 Unilateral operation || id:UKB-b:1002,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - main OPCS: W44.3 Revision of total prosthetic replacement of joint not using cement NEC || id:UKB-b:1003,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W44.3 Revision of total prosthetic replacement of joint not using cement NEC || id:UKB-b:1003,Chang et al. 2017,lowcase
Added milk to espresso || id:UKB-b:1004,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Treatment/medication code: distalgesic tablet || id:UKB-b:1005,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: distalgesic tablet || id:UKB-b:1005,Chang et al. 2017,lowcase
PCT where patients GP was registered: MID-HAMPSHIRE PCT || id:UKB-b:1006,Nalls et al. 2019 (clinically diagnosed cases),lowcase
PCT where patients GP was registered: MID-HAMPSHIRE PCT || id:UKB-b:1006,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D03.2 Melanoma in situ of ear and external auricular canal || id:UKB-b:1007,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: D03.2 Melanoma in situ of ear and external auricular canal || id:UKB-b:1007,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S79.9 Unspecified injury of hip and thigh || id:UKB-b:1008,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S79.9 Unspecified injury of hip and thigh || id:UKB-b:1008,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: M15.1 Nephrostomography || id:UKB-b:1009,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: M15.1 Nephrostomography || id:UKB-b:1009,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: M94.89 Other specified disorders of cartilage (Site unspecified) || id:UKB-b:101,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M94.89 Other specified disorders of cartilage (Site unspecified) || id:UKB-b:101,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M77.0 Medial epicondylitis || id:UKB-b:1010,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M77.0 Medial epicondylitis || id:UKB-b:1010,Chang et al. 2017,lowcase
Diagnoses - main ICD10: M48.09 Spinal stenosis (Site unspecified) || id:UKB-b:1011,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M48.09 Spinal stenosis (Site unspecified) || id:UKB-b:1011,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: F44.9 Dissociative [conversion] disorder,unspecified || id:UKB-b:1012",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: F44.9 Dissociative [conversion] disorder, unspecified || id:UKB-b:1012",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: G40.6 Grand mal seizures,unspecified (with or without petit mal) || id:UKB-b:1013",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD10: G40.6 Grand mal seizures, unspecified (with or without petit mal) || id:UKB-b:1013",Chang et al. 2017,snp+lowcase
"Diagnoses - main ICD10: M10.99 Gout,unspecified (Site unspecified) || id:UKB-b:1015",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: M10.99 Gout, unspecified (Site unspecified) || id:UKB-b:1015",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: F38.1 Excision of lesion of floor of mouth || id:UKB-b:1017,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F38.1 Excision of lesion of floor of mouth || id:UKB-b:1017,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M81.4 Drug-induced osteoporosis || id:UKB-b:1018,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: M81.4 Drug-induced osteoporosis || id:UKB-b:1018,Chang et al. 2017,snp+lowcase
"Diagnoses - main ICD10: G82.5 Tetraplegia,unspecified || id:UKB-b:1019",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: G82.5 Tetraplegia, unspecified || id:UKB-b:1019",Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: R22.8 Other specified vacuum delivery || id:UKB-b:1022,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: R22.8 Other specified vacuum delivery || id:UKB-b:1022,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y66.2 Harvest of bone from rib || id:UKB-b:1023,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Y66.2 Harvest of bone from rib || id:UKB-b:1023,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y98.9 Unspecified radiology procedures || id:UKB-b:1024,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Y98.9 Unspecified radiology procedures || id:UKB-b:1024,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: H72.1 Attic perforation of tympanic membrane || id:UKB-b:1025,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: H72.1 Attic perforation of tympanic membrane || id:UKB-b:1025,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 5651 Anal fistula || id:UKB-b:1026,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 5651 Anal fistula || id:UKB-b:1026,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: L91.6 Cannulation of vein NEC || id:UKB-b:1028,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: L91.6 Cannulation of vein NEC || id:UKB-b:1028,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y06.3 Enucleation of lesion of organ NOC || id:UKB-b:1029,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Y06.3 Enucleation of lesion of organ NOC || id:UKB-b:1029,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: F11.1 Harmful use || id:UKB-b:103,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: F11.1 Harmful use || id:UKB-b:103,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G55.3 Nerve root and plexus compressions in other dorsopathies || id:UKB-b:1030,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G55.3 Nerve root and plexus compressions in other dorsopathies || id:UKB-b:1030,Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: O82.9 Delivery by Caesarean section,unspecified || id:UKB-b:1031",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: O82.9 Delivery by Caesarean section, unspecified || id:UKB-b:1031",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: H66.9 Otitis media,unspecified || id:UKB-b:1032",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: H66.9 Otitis media, unspecified || id:UKB-b:1032",Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: L04.2 Acute lymphadenitis of upper limb || id:UKB-b:1033,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: L04.2 Acute lymphadenitis of upper limb || id:UKB-b:1033,Chang et al. 2017,lowcase
Number of PWA tests performed || id:UKB-b:1034,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: S06.80 Other intracranial injuries (without open intracranial wound) || id:UKB-b:1035,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S06.80 Other intracranial injuries (without open intracranial wound) || id:UKB-b:1035,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G53.0 Postzoster neuralgia || id:UKB-b:1036,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: G53.0 Postzoster neuralgia || id:UKB-b:1036,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: L93.5 Vein graft || id:UKB-b:1038,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: L93.5 Vein graft || id:UKB-b:1038,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: H24.8 Other specified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope || id:UKB-b:1039,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: H24.8 Other specified other therapeutic endoscopic operations on lower bowel using fibreoptic sigmoidoscope || id:UKB-b:1039,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K74.0 Hepatic fibrosis || id:UKB-b:104,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: K74.0 Hepatic fibrosis || id:UKB-b:104,Chang et al. 2017,lowcase
External causes: Y84.1 Kidney dialysis || id:UKB-b:1040,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: Y84.1 Kidney dialysis || id:UKB-b:1040,Chang et al. 2017,lowcase
"Diagnoses - main ICD9: 8911 Open wound of knee,leg (except thigh) and ankle,complicated || id:UKB-b:1042",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD9: 8911 Open wound of knee, leg (except thigh) and ankle, complicated || id:UKB-b:1042",Chang et al. 2017,lowcase
Diagnoses - main ICD9: 3863 Labyrinthitis || id:UKB-b:1043,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD9: 3863 Labyrinthitis || id:UKB-b:1043,Chang et al. 2017,lowcase
Diagnoses - main ICD10: C67.0 Trigone of bladder || id:UKB-b:1045,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: C67.0 Trigone of bladder || id:UKB-b:1045,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T24.3 Repair of umbilical hernia using sutures || id:UKB-b:1047,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: T24.3 Repair of umbilical hernia using sutures || id:UKB-b:1047,Chang et al. 2017,snp+lowcase
Treatment/medication code: calcitonin product || id:UKB-b:1048,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: calcitonin product || id:UKB-b:1048,Chang et al. 2017,lowcase
Diagnoses - main ICD10: A69.2 Lyme disease || id:UKB-b:1049,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: A69.2 Lyme disease || id:UKB-b:1049,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Z54.0 Convalescence following surgery || id:UKB-b:105,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: Z54.0 Convalescence following surgery || id:UKB-b:105,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: R15.1 Medical induction of labour || id:UKB-b:1050,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: R15.1 Medical induction of labour || id:UKB-b:1050,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: N76.2 Acute vulvitis || id:UKB-b:1052,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: N76.2 Acute vulvitis || id:UKB-b:1052,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S02.3 Fracture of orbital floor || id:UKB-b:1053,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S02.3 Fracture of orbital floor || id:UKB-b:1053,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: D12.8 Other specified other operations on mastoid || id:UKB-b:1054,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: D12.8 Other specified other operations on mastoid || id:UKB-b:1054,Chang et al. 2017,lowcase
Treatment/medication code: carteolol || id:UKB-b:1055,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: carteolol || id:UKB-b:1055,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S06.0 Concussion || id:UKB-b:1056,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S06.0 Concussion || id:UKB-b:1056,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: 7863 Haemoptysis || id:UKB-b:1057,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: 7863 Haemoptysis || id:UKB-b:1057,Chang et al. 2017,lowcase
Diagnoses - main ICD10: I66.9 Occlusion and stenosis of unspecified cerebral artery || id:UKB-b:1058,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: I66.9 Occlusion and stenosis of unspecified cerebral artery || id:UKB-b:1058,Chang et al. 2017,lowcase
Diagnoses - main ICD10: K76.6 Portal hypertension || id:UKB-b:106,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: K76.6 Portal hypertension || id:UKB-b:106,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: S36.9 Unspecified other autograft of skin || id:UKB-b:1060,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: S36.9 Unspecified other autograft of skin || id:UKB-b:1060,Chang et al. 2017,snp+lowcase
Age high blood pressure diagnosed || id:UKB-b:1061,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Age high blood pressure diagnosed || id:UKB-b:1061,Chang et al. 2017,lowcase
Age high blood pressure diagnosed || id:UKB-b:1061,Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: T69.9 Unspecified freeing of tendon || id:UKB-b:1062,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: T69.9 Unspecified freeing of tendon || id:UKB-b:1062,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Z94.4 Liver transplant status || id:UKB-b:1063,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - secondary ICD10: Z94.4 Liver transplant status || id:UKB-b:1063,Chang et al. 2017,snp+lowcase
Diagnoses - secondary ICD10: Z94.4 Liver transplant status || id:UKB-b:1063,Nalls et al. 2014,snp+lowcase
Operative procedures - secondary OPCS: F20.8 Other specified operations on gingiva || id:UKB-b:1064,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: F20.8 Other specified operations on gingiva || id:UKB-b:1064,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: H40.1 Primary open-angle glaucoma || id:UKB-b:1065,Chang et al. 2017,snp
"Diagnoses - secondary ICD10: X42.2 School,other institution and public administrative area || id:UKB-b:1066",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: X42.2 School, other institution and public administrative area || id:UKB-b:1066",Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G94.1 Hydrocephalus in neoplastic disease || id:UKB-b:1067,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G94.1 Hydrocephalus in neoplastic disease || id:UKB-b:1067,Chang et al. 2017,lowcase
Treatment/medication code: sodium clodronate || id:UKB-b:1068,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: sodium clodronate || id:UKB-b:1068,Chang et al. 2017,lowcase
Diagnoses - main ICD10: S64.1 Injury of median nerve at wrist and hand level || id:UKB-b:1069,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: S64.1 Injury of median nerve at wrist and hand level || id:UKB-b:1069,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: T03.3 Reopening of chest and re-exploration of intrathoracic operation site NEC || id:UKB-b:107,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: T03.3 Reopening of chest and re-exploration of intrathoracic operation site NEC || id:UKB-b:107,Chang et al. 2017,lowcase
Average weekly fortified wine intake || id:UKB-b:1070,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD10: L02.9 Cutaneous abscess,furuncle and carbuncle,unspecified || id:UKB-b:1071",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - main ICD10: L02.9 Cutaneous abscess, furuncle and carbuncle, unspecified || id:UKB-b:1071",Chang et al. 2017,lowcase
External causes: X42.9 Unspecified place || id:UKB-b:1072,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: X42.9 Unspecified place || id:UKB-b:1072,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: W36.1 Percutaneous needle biopsy of lesion of bone || id:UKB-b:1073,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W36.1 Percutaneous needle biopsy of lesion of bone || id:UKB-b:1073,Chang et al. 2017,lowcase
